epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9888,0.8185,3.07766,1.16153,0.00866,0.95,0.23657,0.18734,0.28338,3.09246,0.87343,1.667e-05,1.667e-05,1.667e-05
2,53.9486,0.69794,2.91169,1.10441,0.00842,0.95,0.30585,0.25751,0.2823,3.06235,0.8657,4.75345e-05,4.75345e-05,4.75345e-05
3,82.2348,0.60883,2.84889,1.05846,0.00795,0.95,0.37893,0.32889,0.29119,3.04194,0.85252,7.50984e-05,7.50984e-05,7.50984e-05
4,110.279,0.54085,2.71724,1.0919,0.00812,0.97,0.43522,0.39415,0.3093,3.01404,0.84966,9.93615e-05,9.93615e-05,9.93615e-05
5,140.275,0.74587,2.52028,1.1625,0.00789,0.97,0.46889,0.43127,0.33158,2.97049,0.84832,0.000120324,0.000120324,0.000120324
6,169.472,0.78326,2.36613,1.1381,0.00793,0.97,0.46277,0.42083,0.34502,2.91658,0.83991,0.000137986,0.000137986,0.000137986
7,199.194,0.66126,2.14882,1.022,0.00806,0.97,0.45614,0.40521,0.38009,2.84397,0.83383,0.000152347,0.000152347,0.000152347
8,226.395,0.73512,1.91294,1.13819,0.00885,0.99,0.55518,0.48693,0.39616,2.76063,0.85507,0.000163408,0.000163408,0.000163408
9,254.782,0.69146,1.8572,1.16027,0.86801,0.41823,0.55711,0.49179,0.40178,2.72238,0.85901,0.000171168,0.000171168,0.000171168
10,283.812,0.69812,1.43781,1.12558,0.97746,0.21186,0.48347,0.43402,0.3908,2.66123,0.8643,0.000175627,0.000175627,0.000175627
11,312.508,0.50629,1.68579,0.99259,1,0.14749,0.4475,0.40447,0.36994,2.60261,0.85593,0.000176785,0.000176785,0.000176785
12,341.376,0.52058,1.75614,1.01836,1,0.17835,0.4465,0.40744,0.36329,2.55248,0.85844,0.000174643,0.000174643,0.000174643
13,370.484,0.49962,1.60186,0.94785,1,0.18747,0.4516,0.40297,0.35573,2.54858,0.84971,0.000169201,0.000169201,0.000169201
14,398.065,0.45254,1.48912,0.97659,1,0.18884,0.44869,0.40371,0.36659,2.56644,0.85216,0.000160457,0.000160457,0.000160457
15,427.712,0.46116,1.54533,0.93461,1,0.19792,0.44286,0.40707,0.37317,2.55654,0.84607,0.000148413,0.000148413,0.000148413
16,459.093,0.46557,1.31754,0.90179,1,0.21403,0.4363,0.40086,0.40181,2.54331,0.86028,0.000133068,0.000133068,0.000133068
17,490.459,0.39407,1.4566,0.88728,1,0.22304,0.4504,0.41199,0.40799,2.50892,0.85679,0.000114423,0.000114423,0.000114423
18,519.416,0.44237,1.41975,0.93298,1,0.25233,0.46904,0.4201,0.42286,2.47652,0.8673,9.24768e-05,9.24768e-05,9.24768e-05
19,549.81,0.52697,1.35122,0.95278,1,0.2833,0.4761,0.42662,0.43345,2.42131,0.86745,6.72301e-05,6.72301e-05,6.72301e-05
20,577.889,0.41881,1.43526,0.86824,0.96824,0.29494,0.47671,0.42933,0.43329,2.37799,0.86528,3.86827e-05,3.86827e-05,3.86827e-05
